taxon	sequenceID	name	full_name	subfamily	genus	host_major_group	host_minor_group	vector_group	sampled_host_sci_name
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/AY632538	AY632538	IGUV	Iguape virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	Mus musculus
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/AY632542	AY632542	ROCV	Rocio virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	Homo sapiens
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/AY898809	AY898809	ALFV	Alfuy virus	FlaviPesti	Flavivirus	Arthropods	Insects	Aedes	Centropus phasianius
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/D00246	D00246	KUNV	Kunjin virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	Culex annulirostris
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/DQ235149	DQ235149	RFV	Royal Farm virus	FlaviPesti	Flavivirus	Arthropods	Acari	tick	Argas hermanni
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/DQ235151	DQ235151	TSEV	Turkish sheep encephalitis virus	FlaviPesti	Flavivirus	Arthropods	Acari	tick	Ixodes
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/DQ859056	DQ859056	BANV	Banzi virus	FlaviPesti	Flavivirus	Arthropods	Insects	Lutzomyia	Homo sapiens
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/EU082199	EU082199	YAOV	Yaounde virus	FlaviPesti	Flavivirus	Arthropods	Insects	Culex	Culex nebulosis
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/EU082200	EU082200	KOUV	Koutango virus	FlaviPesti	Flavivirus	Arthropods	Insects	Aedes	Tatera kempi
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/EU159426	EU159426	NOUV	Nounane virus	FlaviPesti	Flavivirus	Arthropods	Insects	Aedes	Uranotaenia mashonaensis
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/HE574574	HE574574	CTFV	Culex theileri flavivirus RP-2011	FlaviPesti	Flavivirus	Arthropods	Insects	none	Culex theileri
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/JF312912	JF312912	BYDV	Baiyangdian virus	FlaviPesti	Flavivirus	Arthropods	Insects	Aedes	Anas platyrhynchos
alignment/AL_TREE_Flavivirus/member/ncbi-refseqs/JF416960	JF416960	KFDV	Kyasanur Forest disease virus	FlaviPesti	Flavivirus	Arthropods	Acari	tick	Semnopithecus entellus
