taxon	sequenceID	name	full_name	subfamily	genus	host_major_group	host_minor_group	vector_group	sampled_host_sci_name
alignment/AL_TREE_Jingmenvirus_Seg1/member/ncbi-refseqs/KM521552	KM521552	Guaico_Seg1	Guaico Culex virus	FlaviPesti	Jingmenvirus	Arthropods	Insects	ticks	Culex interrogator
alignment/AL_TREE_Jingmenvirus_Seg1/member/ncbi-refseqs/KP757924	KP757924	DFlV_Seg1	Drosophila-associated Flavivirus-like 2	FlaviPesti	Jingmenvirus	Arthropods	Insects	none	Drosophila
alignment/AL_TREE_Jingmenvirus_Seg1/member/ncbi-refseqs/KR902721	KR902721	WuhanAphid_Seg1	Wuhan aphid virus 1	FlaviPesti	Jingmenvirus	Arthropods	Insects	ticks	Hyalopterus pruni
alignment/AL_TREE_Jingmenvirus_Seg1/member/ncbi-refseqs/KX883002	KX883002	Changjiang_Seg1	Changjiang Jingmen-like virus	FlaviPesti	Jingmenvirus	Arthropods	Crustaceans	none	Procambarus clarkii
alignment/AL_TREE_Jingmenvirus_Seg1/member/ncbi-refseqs/MH158415	MH158415	Alongshan_Seg1	Alongshan virus	FlaviPesti	Jingmenvirus	Arthropods	Acari	none	Ixodes persulcatus
alignment/AL_TREE_Jingmenvirus_Seg1/member/ncbi-refseqs/MW208795	MW208795	SJrV_Seg1	Siphonapteran jingmen-related virus	FlaviPesti	Jingmenvirus	Arthropods	Insects	none	Ctenocephalides felis
alignment/AL_TREE_Jingmenvirus_Seg1/member/ncbi-refseqs/MW208796	MW208796	HjrV1_Seg1	Hemipteran jingmen-related virus	FlaviPesti	Jingmenvirus	Arthropods	Insects	none	Tachycixius pilosus
alignment/AL_TREE_Jingmenvirus_Seg1/member/ncbi-refseqs/MW208797	MW208797	HjrV2_Seg1	Hemipteran jingmen-related virus	FlaviPesti	Jingmenvirus	Arthropods	Insects	none	Plea minutissima
alignment/AL_TREE_Jingmenvirus_Seg1/member/ncbi-refseqs/MW208798	MW208798	PJrV_Seg1	Psocopteran jingmen-related virus	FlaviPesti	Jingmenvirus	Arthropods	Insects	none	Heterocaecilius solocipennis
alignment/AL_TREE_Jingmenvirus_Seg1/member/ncbi-refseqs/MW208799	MW208799	NJrV_Seg1	Neuropteran jingmen-related virus	FlaviPesti	Jingmenvirus	Arthropods	Insects	none	Pseudomallada ventralis
alignment/AL_TREE_Jingmenvirus_Seg1/member/ncbi-refseqs/MW314684	MW314684	AJrV_Seg1	Arachnidan jingmen-related virus	FlaviPesti	Jingmenvirus	Arthropods	Scorpiones	none	Euscorpius sicanus
alignment/AL_TREE_Jingmenvirus_Seg1/member/ncbi-refseqs/MW314694	MW314694	DJrV_Seg1	Dipluran jingmen-related virus	FlaviPesti	Jingmenvirus	Arthropods	Insects	none	Campodea silvestrii
alignment/AL_TREE_Jingmenvirus_Seg1/member/ncbi-refseqs/NC_024113	NC_024113	JMTV_Seg1	Jingmen tick virus	FlaviPesti	Jingmenvirus	Arthropods	Acari	none	Rhipicephalus microplus
alignment/AL_TREE_Jingmenvirus_Seg1/member/ncbi-refseqs/NC_028396	NC_028396	Siv7_Seg1	Shuangao insect virus 7	FlaviPesti	Jingmenvirus	Arthropods	Insects	none	Chrysopidae spp
