taxon	sequenceID	name	full_name	subfamily	genus	host_major_group	host_minor_group	vector_group	sampled_host_sci_name
alignment/AL_TREE_LGF/member/ncbi-refseqs/KR902735	KR902735	XinSpiFV	Xinzhou spider virus 2	FlaviPesti	LGF	Arthropods	Arachnids	none	Neoscona nautica
alignment/AL_TREE_LGF/member/ncbi-refseqs/KR902737	KR902737	WuCentiV	Wuhan centipede virus	FlaviPesti	LGF	Arthropods	Myriapods	none	Otostigmus scaber
alignment/AL_TREE_LGF/member/ncbi-refseqs/KU754513	KU754513	TakV	Takaungu virus	FlaviPesti	LGF	Arthropods	Insects	none	Drosophila
alignment/AL_TREE_LGF/member/ncbi-refseqs/MH620810	MH620810	LampV	Lampyris noctiluca flavivirus 1	FlaviPesti	LGF	Arthropods	Insects	none	Lampyris noctiluca
alignment/AL_TREE_LGF/member/ncbi-refseqs/MH778148	MH778148	SmFlV	Sitobion miscanthi flavi-like virus 1	FlaviPesti	LGF	Arthropods	Insects	none	Sitobion miscanthi
alignment/AL_TREE_LGF/member/ncbi-refseqs/MW208756	MW208756	-	Hymenopteran flavi-related virus	FlaviPesti	LGF	Arthropods	Insects	none	Dufourea dentiventris
alignment/AL_TREE_LGF/member/ncbi-refseqs/MW208757	MW208757	-	Neuropteran flavi-related virus	FlaviPesti	LGF	Arthropods	Insects	none	Mantispinae sp.
alignment/AL_TREE_LGF/member/ncbi-refseqs/MW208758	MW208758	-	Orthopteran flavi-related virus	FlaviPesti	LGF	Arthropods	Insects	none	Stenocepa sp.
alignment/AL_TREE_LGF/member/ncbi-refseqs/MW208761	MW208761	-	Hymenopteran flavi-related virus	FlaviPesti	LGF	Arthropods	Insects	none	Thyreus orbatus
alignment/AL_TREE_LGF/member/ncbi-refseqs/MW208762	MW208762	-	Hymenopteran flavi-related virus	FlaviPesti	LGF	Arthropods	Insects	none	Eumenes papillarius
alignment/AL_TREE_LGF/member/ncbi-refseqs/MW208763	MW208763	-	Hymenopteran flavi-related virus	FlaviPesti	LGF	Arthropods	Insects	none	Ancistrocerus nigricornis
alignment/AL_TREE_LGF/member/ncbi-refseqs/MW208764	MW208764	-	Orthopteran flavi-related virus	FlaviPesti	LGF	Arthropods	Insects	none	Dictyophorus griseus
alignment/AL_TREE_LGF/member/ncbi-refseqs/MW208765	MW208765	-	Orthopteran flavi-related virus	FlaviPesti	LGF	Arthropods	Insects	none	Phymateus viridipes
alignment/AL_TREE_LGF/member/ncbi-refseqs/MW314679	MW314679	-	Dipteran flavi-related virus	FlaviPesti	LGF	Arthropods	Insects	none	Anabarhynchus dentiphallus
alignment/AL_TREE_LGF/member/ncbi-refseqs/MW314680	MW314680	-	Hymenopteran flavi-related virus	FlaviPesti	LGF	Arthropods	Insects	none	Perilampus aeneus
alignment/AL_TREE_LGF/member/ncbi-refseqs/MW314681	MW314681	-	Odonatan flavi-related virus	FlaviPesti	LGF	Arthropods	Insects	none	Orthetrum albistylum
alignment/AL_TREE_LGF/member/ncbi-refseqs/NC_020252	NC_020252	GKaV	Gentian Kobu-sho-associated virus	FlaviPesti	LGF	Plants	Angiosperms	none	Gentiana triflora
alignment/AL_TREE_LGF/member/ncbi-refseqs/NC_024077	NC_024077	SbCNV-5	Soybean cyst nematode virus 5	FlaviPesti	LGF	Nematode	Nematode	none	Heterodera glycines
alignment/AL_TREE_LGF/member/ncbi-refseqs/NC_028137	NC_028137	MEV-1	Macrosiphum euphorbiae virus 1	FlaviPesti	LGF	Arthropods	Insects	none	Macrosiphum euphorbiae
alignment/AL_TREE_LGF/member/ncbi-refseqs/NC_028367	NC_028367	TachengTV-8	Tacheng tick virus 8	FlaviPesti	LGF	Arthropods	Acari	none	Dermacentor marginatus
alignment/AL_TREE_LGF/member/ncbi-refseqs/NC_028370	NC_028370	XCV	Xingshan cricket virus	FlaviPesti	LGF	Arthropods	Insects	none	Velarifictorus micado
alignment/AL_TREE_LGF/member/ncbi-refseqs/NC_028373	NC_028373	SLV2	Shuangao lacewing virus 2	FlaviPesti	LGF	Arthropods	Insects	none	Chrysopidae sp
alignment/AL_TREE_LGF/member/ncbi-refseqs/NC_028375	NC_028375	ShayangFlyV4	Shayang fly virus 4	FlaviPesti	LGF	Arthropods	Insects	none	Musca domestica
alignment/AL_TREE_LGF/member/ncbi-refseqs/NC_035071	NC_035071	ApisFV	Apis flavivirus	FlaviPesti	LGF	Arthropods	Insects	none	Apis mellifera
