taxon	sequenceID	name	full_name	subfamily	genus	host_major_group	host_minor_group	vector_group	sampled_host_sci_name
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/KY370099	KY370099	RPVNe	Rodent pestivirus	FlaviPesti	Pestivirus	Mammalia	Rodentia	none	Niviventer excelsior
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/KY370100	KY370100	RPVAp	Rodent pestivirus	FlaviPesti	Pestivirus	Mammalia	Rodentia	none	Apodemus peninsulae
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/KY370102	KY370102	RPVAd	Rodent pestivirus	FlaviPesti	Pestivirus	Mammalia	Rodentia	none	Apodemus draco
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/KY370103	KY370103	RPVNn	Rodent pestivirus	FlaviPesti	Pestivirus	Mammalia	Rodentia	none	Niviventer niviventer
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_001461	NC_001461	BVDV1	Bovine viral diarrhea virus 1	FlaviPesti	Pestivirus	Mammalia	Artiodactyla	none	Bos taurus
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_002657	NC_002657	CSFV	Classical swine fever virus	FlaviPesti	Pestivirus	Mammalia	Artiodactyla	none	Sus scrofa
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_003678	NC_003678	GiPeV	Pestivirus giraffe-1 H138	FlaviPesti	Pestivirus	Mammalia	Artiodactyla	none	Giraffa camelopardalis
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_003679	NC_003679	BDV	Border disease virus	FlaviPesti	Pestivirus	Mammalia	Artiodactyla	none	Ovis aries
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_012812	NC_012812	BVDV3	Bovine viral diarrhea virus 3 Th/04_KhonKaen	FlaviPesti	Pestivirus	Mammalia	Artiodactyla	none	Bos taurus
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_018713	NC_018713	Aydin	Pestivirus strain Aydin/04-TR	FlaviPesti	Pestivirus	Mammalia	Artiodactyla	none	Ovis aries
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_023176	NC_023176	PoPeV	Porcine pestivirus isolate Bungowannah	FlaviPesti	Pestivirus	Mammalia	Artiodactyla	none	Sus scrofa
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_024018	NC_024018	PAPeV	Pronghorn antelope pestivirus	FlaviPesti	Pestivirus	Mammalia	Artiodactyla	none	Antilocapra americana
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_025677	NC_025677	NrPeV	Norway rat pestivirus	FlaviPesti	Pestivirus	Mammalia	Rodentia	none	Rattus norvegicus
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_035432	NC_035432	LPV	Linda virus	FlaviPesti	Pestivirus	Mammalia	Artiodactyla	none	Sus scrofa
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_038964	NC_038964	APPeV	Porcine pestivirus 1	FlaviPesti	Pestivirus	Mammalia	Artiodactyla	none	Sus scrofa
