taxon	sequenceID	name	full_name	subfamily	genus	host_major_group	host_minor_group	vector_group	sampled_host_sci_name
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/KC145265	KC145265	TDAV	Theiler's disease-associated virus	HepaPegi	Pegivirus	Mammalia	Primates	none	Saguinus
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/KC796073	KC796073	BPV	Bat pegivirus	HepaPegi	Pegivirus	Mammalia	Primates	none	Saguinus
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/KC796088	KC796088	PVI	bat pegivirus I	HepaPegi	Pegivirus	Mammalia	Chiroptera	none	Sturnira lilium
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/KT439329	KT439329	HHpgV	Human hepegivirus	HepaPegi	Pegivirus	Mammalia	Primates	none	Homo sapiens
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/KU351670	KU351670	PPV	Porcine pegivirus	HepaPegi	Pegivirus	Mammalia	Artiodactyla	none	Sus scrofa
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/MK059751	MK059751	DPV	Dolphin pegivirus	HepaPegi	Pegivirus	Mammalia	Artiodactyla	none	Tursiops truncatus
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/MT513216	MT513216	SOBV	Southwest bike trail virus	HepaPegi	Pegivirus	Mammalia	Primates	none	Aotus trivirgatus
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/MW091548	MW091548	GPV	Goose pegivirus 1	HepaPegi	Pegivirus	Aves	Anseriformes	none	Anser cygnoides
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/NC_001710	NC_001710	HGV1	GB virus C	HepaPegi	Pegivirus	Mammalia	Primates	none	Homo sapiens
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/NC_001837	NC_001837	GBV-A	Pegivirus A	HepaPegi	Pegivirus	Mammalia	Primates	none	Homo sapiens
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/NC_020902	NC_020902	EPgV	Equine pegivirus 1	HepaPegi	Pegivirus	Mammalia	Artiodactyla	none	Equus caballus
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/NC_021154	NC_021154	RPgV	Rodent pegivirus	HepaPegi	Pegivirus	Mammalia	Rodentia	none	Neotoma lepida
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/NC_024377	NC_024377	SPgV	Simian pegivirus	HepaPegi	Pegivirus	Mammalia	Primates	none	Piliocolobus tephrosceles
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/NC_025679	NC_025679	NPgV	Norway rat pegivirus	HepaPegi	Pegivirus	Mammalia	Rodentia	none	Rattus norvegicus
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/NC_027998	NC_027998	HPgV-2	Human pegivirus 2	HepaPegi	Pegivirus	Mammalia	Primates	none	Homo sapiens
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/NC_030291	NC_030291	GBVD	GB virus-D	HepaPegi	Pegivirus	Mammalia	Chiroptera	none	Pteropus giganteus
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/NC_034442	NC_034442	PVK	Pegivirus K	HepaPegi	Pegivirus	Mammalia	Artiodactyla	none	Sus scrofa
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/NC_038434	NC_038434	PVF	Pegivirus F	HepaPegi	Pegivirus	Mammalia	Chiroptera	none	Carollia perspicillata
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/NC_038435	NC_038435	PVG	Pegivirus G	HepaPegi	Pegivirus	Mammalia	Chiroptera	none	Scotophilus dinganii
