sequenceID	sequence_length	locus_name	genus	stem	locus_numeric_id	duplicate_id	organism	target_datatype	target_version	target_name	scaffold	orientation	extract_start	extract_end
EFV-cISF.1.1-Aedes_aegypti	13814	EFV-cISF.1-AedAeg	cISF	EFV-cISF	1	1	Aedes_aegypti	complete	AaegL2	GCF_000004015.3_AaegL2_genomic.fna	NW_001811003.1	+	1363194	1377007
EFV-cISF.1.2-Aedes_aegypti	2864	EFV-cISF.1-AedAeg	cISF	EFV-cISF	1	2	Aedes_aegypti	complete	AaegL2	GCF_000004015.3_AaegL2_genomic.fna	NW_001810938.1	-	1126141	1129004
EFV-cISF.1.3-Aedes_aegypti	13973	EFV-cISF.1-AedAeg	cISF	EFV-cISF	1	3	Aedes_aegypti	complete	AaegL2	GCF_000004015.3_AaegL2_genomic.fna	NW_001811003.1	+	1385240	1399212
EFV-cISF.1.4-Aedes_aegypti	1497	EFV-cISF.1-AedAeg	cISF	EFV-cISF	1	4	Aedes_aegypti	complete	AaegL2	GCF_000004015.3_AaegL2_genomic.fna	NW_001810830.1	+	211726	213222
EFV-cISF.1.5-Aedes_aegypti	8365	EFV-cISF.1-AedAeg	cISF	EFV-cISF	1	5	Aedes_aegypti	complete	AaegL2	GCF_000004015.3_AaegL2_genomic.fna	NW_001809963.1	+	94390	102754
EFV-cISF.1.6-Aedes_aegypti	15225	EFV-cISF.1-AedAeg	cISF	EFV-cISF	1	6	Aedes_aegypti	complete	AaegL2	GCF_000004015.3_AaegL2_genomic.fna	NW_001811339.1	-	72559	87783
EFV-cISF.1.7-Aedes_aegypti	504	EFV-cISF.1-AedAeg	cISF	EFV-cISF	1	7	Aedes_aegypti	complete	AaegL2	GCF_000004015.3_AaegL2_genomic.fna	NW_001810830.1	+	244025	244528
EFV-cISF.1.8-Aedes_aegypti	258	EFV-cISF.1-AedAeg	cISF	EFV-cISF	1	8	Aedes_aegypti	complete	AaegL2	GCF_000004015.3_AaegL2_genomic.fna	NW_001811003.1	+	1429737	1429994
EFV-cISF.1.9-Aedes_aegypti	3750	EFV-cISF.2-AedAlb	cISF	EFV-cISF	1	9	Aedes_aegypti	complete	AaegL2	GCF_000004015.3_AaegL2_genomic.fna	NW_001809801.1	-	1198791	1202540
EFV-cISF.2.1-Aedes_albopictus	7604	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	1	Aedes_albopictus	complete	v1.1	GCA_001444175.2_A.albopictus_v1.1_genomic.fna	KQ571597.1	+	3593	11196
EFV-cISF.2.2-Aedes_albopictus	6549	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	2	Aedes_albopictus	complete	Aalbo_primary.1	GCA_006496715.1_Aalbo_primary.1_genomic.fna	SWKY01000020.1	+	19234981	19241529
EFV-cISF.2.3-Aedes_albopictus	2049	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	3	Aedes_albopictus	complete	v1.1	GCA_001444175.2_A.albopictus_v1.1_genomic.fna	KQ565926.1	-	37794	39842
EFV-cISF.2.4-Aedes_albopictus	1545	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	4	Aedes_albopictus	complete	v1.1	GCA_001444175.2_A.albopictus_v1.1_genomic.fna	KQ564680.1	-	127324	128868
EFV-cISF.2.5-Aedes_albopictus	1407	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	5	Aedes_albopictus	complete	v1.1	GCA_001444175.2_A.albopictus_v1.1_genomic.fna	KQ565305.1	+	89437	90843
EFV-cISF.2.6-Aedes_albopictus	11549	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	6	Aedes_albopictus	complete	Aalbo_primary.1	GCA_006496715.1_Aalbo_primary.1_genomic.fna	SWKY01000478.1	-	223706	235254
EFV-cISF.2.7-Aedes_albopictus	1194	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	7	Aedes_albopictus	complete	Aalbo_primary.1	GCA_006496715.1_Aalbo_primary.1_genomic.fna	SWKY01000478.1	-	200816	202009
EFV-cISF.2.8-Aedes_albopictus	1167	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	8	Aedes_albopictus	complete	v1.1	GCA_001444175.2_A.albopictus_v1.1_genomic.fna	KQ571995.1	-	16386	17552
EFV-cISF.2.9-Aedes_albopictus	1047	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	9	Aedes_albopictus	complete	v1.1	GCA_001444175.2_A.albopictus_v1.1_genomic.fna	KQ571597.1	+	23486	24532
EFV-cISF.2.10-Aedes_albopictus	1492	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	10	Aedes_albopictus	complete	v1.1	GCA_001444175.2_A.albopictus_v1.1_genomic.fna	KQ566147.1	-	93100	94591
EFV-cISF.2.11-Aedes_albopictus	5721	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	11	Aedes_albopictus	complete	v1.1	GCA_001444175.2_A.albopictus_v1.1_genomic.fna	KQ566147.1	-	74480	80200
EFV-cISF.2.12-Aedes_albopictus	1807	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	12	Aedes_albopictus	complete	v1.1	GCA_001444175.2_A.albopictus_v1.1_genomic.fna	KQ560270.1	-	15548	17354
EFV-cISF.2.13-Aedes_albopictus	939	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	13	Aedes_albopictus	complete	v1.1	GCA_001444175.2_A.albopictus_v1.1_genomic.fna	KQ635505.1	+	8085	9023
EFV-cISF.2.14-Aedes_albopictus	1375	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	14	Aedes_albopictus	complete	Aalbo_primary.1	GCA_006496715.1_Aalbo_primary.1_genomic.fna	SWKY01000002.1	-	164421457	164422831
EFV-cISF.2.15-Aedes_albopictus	6893	EFV-cISF.2-AedAlb	cISF	EFV-cISF	2	15	Aedes_albopictus	complete	v1.1	GCA_001444175.2_A.albopictus_v1.1_genomic.fna	KQ562627.1	-	173052	179944
