sequenceID	name	locus_id	full_name	subfamily	supergenus	genus	subgenus	clade	locus_numeric_id	host_group_taxlevel	host_group_name	host_group_common_name	reftype	num_copies	host_group	vector_group
EFV-cISF.1-AedAeg	EFV-cISF.1-AedAeg	EFV-cISF.1-AedAeg	EFV-cISF.1-AedAeg	FlaviPesti	FlaviLike	Flavivirus	cISF	NULL	1	species	Aedes aegypti**	Yellow fever mosquito	consensus	10	NULL	NULL
EFV-cISF.2-AedAlb	EFV-cISF.2-AedAlb	EFV-cISF.2-AedAlb	EFV-cISF.2-AedAlb	FlaviPesti	FlaviLike	Flavivirus	cISF	NULL	2	species	Aedes albopictus**	Tiger mosquito	consensus	16	NULL	NULL
EFV-cISF.3-AnoMin	EFV-cISF.3-AnoMin	EFV-cISF.3-AnoMin	EFV-cISF.3-AnoMin	FlaviPesti	FlaviLike	Flavivirus	cISF	NULL	3	species	Anopheles minimus**		reference	1	NULL	NULL
EFV-cISF.4-AnoSin	EFV-cISF.4-AnoSin	EFV-cISF.4-AnoSin	EFV-cISF.4-AnoSin	FlaviPesti	FlaviLike	Flavivirus	cISF	NULL	4	species	Anopheles sinensis**		reference	1	NULL	NULL
EFV-cISF.5-TipOle	EFV-cISF.5-TipOle	EFV-cISF.5-TipOle	EFV-cISF.5-TipOle	FlaviPesti	FlaviLike	Flavivirus	cISF	NULL	5	species	Tipula oleracea	Marsh crane fly	consensus	4	NULL	NULL
EFV-cISF.6-ConPat	EFV-cISF.6-ConPat	EFV-cISF.6-ConPat	EFV-cISF.6-ConPat	FlaviPesti	FlaviLike	Flavivirus	cISF	NULL	6	species	Condylostylus patibulatus	Long-legged fly	reference	1	NULL	NULL
EFV-Flavi.1-CraSow	EFV-Flavi.1-CraSow	EFV-Flavi.1-CraSow	EFV-Flavi.1-CraSow	FlaviPesti	FlaviLike	Flavivirus	Cnidarian	NULL	1	species	Craspedacusta sowerbii	Freshwater jellyfish	consensus	7	NULL	NULL
EFV-Flavi.2-DapMag	EFV-Flavi.2-DapMag	EFV-Flavi.2-DapMag	EFV-Flavi.2-DapMag	FlaviPesti	FlaviLike	Flavivirus	Crustacean	NULL	2	species	Daphnia magna	Water flea	consensus	2	NULL	NULL
EFV-Flavi.3-LepArc	EFV-Flavi.3-LepArc	EFV-Flavi.3-LepArc	EFV-Flavi.3-LepArc	FlaviPesti	FlaviLike	Flavivirus	Crustacean	NULL	3	species	Lepidurus arcticus	Tadpole shrimp	consensus	3	NULL	NULL
EFV-HepaPegi.1-ElyChl	EFV-HepaPegi.1-ElyChl	EFV-HepaPegi.1-ElyChl	EFV-HepaPegi.1-ElyChl	HepaPegi	HepaPegi	HepaPegi	Invertebrate	NULL	1	species	Elysia chlorotica	Green sea	reference	1	NULL	NULL
