IDs	Genus	Group	#	Common Name	Species	Refseq_type	Copies	In project?
EFV-cISF.1-Aedes_aegyptii	Flavivirus	cISF	1	Yellow fever mosquito	Aedes aegypti**	consensus	10	no
EFV-cISF.2-Aedes_albopictus	Flavivirus	cISF	2	Tiger mosquito	Aedes albopictus**	consensus	16	no
EFV-cISF.3-Anopheles minimus	Flavivirus	cISF	3		Anopheles minimus**	reference	1	n/a
EFV-cISF.4-Anopheles sinensis	Flavivirus	cISF	4		Anopheles sinensis**	reference	1	n/a
EFV-cISF.5-Tipula_oleracea	Flavivirus	cISF	5	Marsh crane fly	Tipula oleracea	consensus	4	
EFV-Flavivirus.1-Craspedacusta_sowerbii	Flavivirus	Cnidarian	1	Freshwater jellyfish	Craspedacusta sowerbii	consensus	7	
EFV-Flavivirus.2-Daphnia	Flavivirus	Crustacean	2	Water flea	Daphnia magna	consensus	2	
EFV-Flavivirus.3-Lepidurus_arcticus	Flavivirus	Crustacean	3	Tadpole shrimp	Lepidurus arcticus	consensus	3	
EFV-Tamana.1-Lednia	Flavivirus	Tamana	1	Meltwater stonefly	Lednia tumana	reference	1	n/a
EFV-Tamana.2-Laupala	Flavivirus	Tamana	2	Hawaiian cricket	Laupala kohalensis	consensus	2	
EFV-Tamana.3-Amphinemura	Flavivirus	Tamana	3	Spring stonefly	Amphinemura sulcicollis	consensus	2	
EFV-Tamana.4-Amphinemura	Flavivirus	Tamana	4	Tube-eye	Stylephorus chordatus	reference	1	n/a
EFV-X1.1-Priapulus	Flavivirus	X1	1	Penis worm	Priapulus caudatus		2	
EFV-X2.1-Eurytemora	Flavivirus	X2	1	Copepod	Eurytemora affinis		6	
EFV-X2.2-Austrofundulus	Flavivirus	X2	2	Mangrove killifish	Austrofundulus limnaeus		4	
EFV-X2.3-Stylephorus	Flavivirus	X2	3	Tube-eye	Stylephorus chordatus		2	
EFV-Pestinsect.1-Calycopis	Pestivirus	PL2	1	Red-banded hairstreak	Calycopis cecrops			
EFV-Pestinsect.1-Euschistus	Pestivirus	PL2	2	Stink bug	Euschistus heros			
EFV-Pestinsect.3-Ceratina	Pestivirus	PL2	3	Small blue-black bee	Ceratina calcarata			
EFV-Pestinsect.3-Ceratina	Pestivirus	PL2	3	Carpenter bee	Ceratina australensis			
EFV-Pestinsect.3-Ceratina	Pestivirus	PL2	3	Blueberry bee	Habropoda laboriosa			
EFV-Pestinsect.3-Ceratina	Pestivirus	PL2	3	Orchid bee	Eufriesea mexicana			
EFV-Pestinsect.3-Ceratina	Pestivirus	PL2	3	Bloomed furrow bee	Lasioglossum albipes			
EFV-Pestinsect.3-Ceratina	Pestivirus	PL2	3	Sweat bee	Nomia melanderi			
EFV-Pestinsect.3-Ceratina	Pestivirus	PL2	3	Mason bee	Osmia bicornis			
EFV-Pestinsect.3-Ceratina	Pestivirus	PL2	3	Alfalfa leafcutter bee	Megachile rotundata			
EFV-Pestinsect.3-Ceratina	Pestivirus	PL2	3	Pickerel bee	Dufourea novaeangliae			
EFV-Pestinsect.4-Andricus	Pestivirus	PL2	4	Cottonwool gall wasp	Andricus quercusramuli		2	
EFV-Pestinsect.6-Xenocatantops	Pestivirus	PL2	6	Grasshopper	Xenocatantops brachycerus*		16	
EFV-Pestinsect.1-Operophtera	Pestivirus	PL2		Winter moth	Operophtera brumata		2	
