sequenceID	sublineage	subfamily	sublineage	genus	clade	name	full_name	class	integration	fragment	duplicate	organism	scaffold	start	end	length	orientation
EFV-Tamana.3.1.2-Amphinemura	FlaviPesti	FlaviPesti	Flavi-like	Tamanavirus	cISF	Tamana.3.1.2	EFV-Tamana.3.1.2-Amphinemura	EFV	3	5	2	Amphinemura_sulcicollis	LVVV01392456.1	786	1118	332	negative
EFV-Tamana.3.1.1-Amphinemura	FlaviPesti	FlaviPesti	Flavi-like	Tamanavirus	cISF	Tamana.3.1.1	EFV-Tamana.3.1.1-Amphinemura	EFV	3	4	1	Amphinemura_sulcicollis	LVVV01416251.1	202	663	461	negative
EFV-Tamana.2.1.2-Laupala	FlaviPesti	FlaviPesti	Flavi-like	Tamanavirus	cISF	Tamana.2.1.2	EFV-Tamana.2.1.2-Laupala	EFV	2	2	2	Laupala_kohalensis	NNCF01133646.1	4424	5161	737	positive
EFV-Tamana.2.1.1-Laupala	FlaviPesti	FlaviPesti	Flavi-like	Tamanavirus	cISF	Tamana.2.1.1	EFV-Tamana.2.1.1-Laupala	EFV	2	1	1	Laupala_kohalensis	NNCF01138054.1	2838	3204	366	positive
EFV-X1.1.2-Priapulus	FlaviPesti	FlaviPesti	Flavi-like	X1	cISF	X1.1.2	EFV-X1.1.2-Priapulus	EFV	1	1	2	Priapulus_caudatus	AXZU02047183.1	11361	11957	596	positive
EFV-X1.1.1-Priapulus	FlaviPesti	FlaviPesti	Flavi-like	X1	cISF	X1.1.1	EFV-X1.1.1-Priapulus	EFV	1	1	1	Priapulus_caudatus	AXZU02072455.1	446	1327	881	negative
EFV-cISF.1.1.1-Aedes_aeg	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.1.1.1	EFV-cISF.1.1.1-Aedes_aeg	EFV	1	1	1	Aedes_aegypti	NIGP01000003.1	191324702	191321900	2802	negative
EFV-cISF.1.1.2-Aedes_aeg	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.1.1.2	EFV-cISF.1.1.2-Aedes_aeg	EFV	1	1	2	Aedes_aegypti	NIGP01000003.1	191335257	191332455	2802	negative
EFV-cISF.1.2.5-Aedes_aeg	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.1.2.5	EFV-cISF.1.2.5-Aedes_aeg	EFV	1	4	5	Aedes_aegypti	NIGP01000003.1	313468414	313468898	484	positive
EFV-cISF.1.4.1-Aedes_aeg	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.1.4.1	EFV-cISF.1.4.1-Aedes_aeg	EFV	1	4	1	Aedes_aegypti	NIGP01000003.1	313469044	313470128	1084	positive
EFV-cISF.1.2.1-Aedes_aeg	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.1.2.1	EFV-cISF.1.2.1-Aedes_aeg	EFV	1	4	1	Aedes_aegypti	NIGP01000003.1	313470274	313470666	392	positive
EFV-cISF.1.2.4-Aedes_aeg	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.1.2.4	EFV-cISF.1.2.4-Aedes_aeg	EFV	1	2	4	Aedes_aegypti	NIGP01000003.1	313471100	313471747	647	positive
EFV-cISF.1.2.3-Aedes_aeg	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.1.2.3	EFV-cISF.1.2.3-Aedes_aeg	EFV	1	2	3	Aedes_aegypti	NIGP01000003.1	313471893	313472977	1084	positive
EFV-cISF.1.2.2-Aedes_aeg	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.1.2.2	EFV-cISF.1.2.2-Aedes_aeg	EFV	1	2	2	Aedes_aegypti	NULL	0	0	0	NULL
EFV-cISF.1.3.1-Aedes_aeg	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.1.3.1	EFV-cISF.1.3.1-Aedes_aeg	EFV	1	3	1	Aedes_aegypti	NULL	0	0	0	NULL
EFV-cISF.1.5.1-Aedes_aeg	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.1.5.1	EFV-cISF.1.5.1-Aedes_aeg	EFV	1	5	1	Aedes_aegypti	NULL	0	0	0	NULL
EFV-cISF.2.7.1-Aedes_alb	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.2.7.1	EFV-cISF.2.7.1-Aedes_alb	EFV	2	7	1	Aedes_albopictus	JXUM01154598.1	9496	10269	773	positive
EFV-cISF.2.3.3-Aedes_alb	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.2.3.3	EFV-cISF.2.3.3-Aedes_alb	EFV	2	3	1	Aedes_albopictus	MNAF02000296	818358	819023	665	positive
EFV-cISF.2.4.1-Aedes_alb	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.2.4.1	EFV-cISF.2.4.1-Aedes_alb	EFV	2	4	1	Aedes_albopictus	MNAF02000296	831164	832192	1028	positive
EFV-cISF.2.5.1-Aedes_alb	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.2.5.1	EFV-cISF.2.5.1-Aedes_alb	EFV	2	5	1	Aedes_albopictus	MNAF02000296	839698	840363	665	negative
EFV-cISF.2.6.1-Aedes_alb	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.2.6.1	EFV-cISF.2.6.1-Aedes_alb	EFV	2	6	1	Aedes_albopictus	MNAF02000296	840335	841336	1001	positive
EFV-cISF.2.1.1-Aedes_alb	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.2.1.1	EFV-cISF.2.1.1-Aedes_alb	EFV	2	1	1	Aedes_albopictus	MNAF02000296.1	814503	819023	4520	positive
EFV-cISF.2.8.1-Aedes_alb	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.2.8.1	EFV-cISF.2.8.1-Aedes_alb	EFV	2	3	1	Aedes_albopictus	MNAF02000570.1	12136	12522	386	negative
EFV-cISF.2.7.1-Aedes_alb	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.2.7.1	EFV-cISF.2.7.1-Aedes_alb	EFV	2	7	1	Aedes_albopictus	MNAF02001128.1	891781	893424	1643	negative
EFV-cISF.2.2.1-Aedes_alb	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.2.2.1	EFV-cISF.2.2.1-Aedes_alb	EFV	2	9	1	Aedes_albopictus	MNAF02001471.1	142492	143616	1124	negative
EFV-cISF.2.2.6-Aedes_alb	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.2.2.6	EFV-cISF.2.2.6-Aedes_alb	EFV	2	2	6	Aedes_albopictus	MNAF02001471.1	155612	155752	140	positive
EFV-cISF.2.2.7-Aedes_alb	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.2.2.7	EFV-cISF.2.2.7-Aedes_alb	EFV	2	2	7	Aedes_albopictus	MNAF02001471.1	176323	176499	176	positive
EFV-cISF.2.2.3-Aedes_alb	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.2.2.3	EFV-cISF.2.2.3-Aedes_alb	EFV	2	2	3	Aedes_albopictus	MNAF02001716.1	1647455	1648564	1109	negative
EFV-cISF.2.2.5-Aedes_alb	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.2.2.5	EFV-cISF.2.2.5-Aedes_alb	EFV	2	2	5	Aedes_albopictus	MNAF02001716.1	1652672	1653055	383	positive
EFV-cISF.2.2.4-Aedes_alb	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.2.2.4	EFV-cISF.2.2.4-Aedes_alb	EFV	2	2	4	Aedes_albopictus	MNAF02001716.1	1662010	1662252	242	positive
EFV-cISF.2.3.2-Aedes_alb	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.2.3.2	EFV-cISF.2.3.2-Aedes_alb	EFV	2	3	2	Aedes_albopictus	MNAF02001716.1	1662155	1663522	1367	negative
EFV-cISF.2.2.2-Aedes_alb	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.2.2.2	EFV-cISF.2.2.2-Aedes_alb	EFV	2	10	2	Aedes_albopictus	MNAF02001716.1	1685819	1687009	1190	negative
EFV-cISF.2.3.1-Aedes_alb	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.2.3.1	EFV-cISF.2.3.1-Aedes_alb	EFV	2	3	1	Aedes_albopictus	MNAF02001716.1	1706320	1707831	1511	positive
EFV-cISF.5.2.1-Tipula	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.5.2.1	EFV-cISF.5.2.1-Tipula	EFV	5	2	1	Tipula_oleracea	JXPP01036443.1	1374	2034	660	positive
EFV-cISF.5.3.1-Tipula	FlaviPesti	FlaviPesti	Flavi-like	Flavivirus	cISF	cISF.5.3.1	EFV-cISF.5.3.1-Tipula	EFV	5	3	1	Tipula_oleracea	JXPP01119385.1	699	812	113	negative
