"organism","target_version"
"Acromyrmex_echinatior","Aech_3.9"
"Acropora_digitifera","Adig_1.1"
"Acyrthosiphon_pisum","Acyr_2.0"
"Amphimedon_queenslandica","aqu_ref_v1.0"
"Amyelois_transitella","ASM118610v1"
"Anopheles_darlingi","AdarC3.31"
"Anopheles_gambiae","AgamP4.31"
"Aplysia_californica","AplCal3.0"
"Atta_cephalotes","Attacep1.0"
"Bactrocera_oleae","lt9474"
"Belgica_antarctica","GCA_000775305.1.31"
"Biomphalaria_glabrata","ASM45736v1"
"Bombus_impatiens",2.0
"Bombus_terrestris",1.0
"Bombyx_mori","ASM15162v1"
"Caenorhabditis_brenneri","goldenpath_caePb2_16Jan2015"
"Caenorhabditis_briggsae","goldenpath_cb3_16Jan2015"
"Caenorhabditis_elegans","ensembl_79_WBcel235"
"Caenorhabditis_elegans","goldenpath_ce10_16Jan2015"
"Caenorhabditis_japonica","goldenpath_caeJap1_16Jan2015"
"Caenorhabditis_remanei","goldenpath_caeRem3_16Jan2015"
"Cephus_cinctus","Ccin1"
"Ciona_intestinalis","ensembl_79_KH"
"Ciona_savignyi","ensembl_79_CSAV2.0"
"Crassostrea_gigas","oyster_v9"
"Culex_quinquefasciatus","CpipJ2.31"
"Dendroctonus_ponderosae","GCA_000355655.1.31"
"Ixodes_scapularis","embl_IscaW1_2015-05"
"Limulus_polyphemus","2.1.2"
"Linepithema_humile","UMD_V04"
"Lottia_gigantea","GCA_000327385.1.31"
"Megachile_rotundata","MROT_1.0"
"Metaseiulus_occidentalis","Mocc_1.0"
"Mya_arenaria","version1"
"Nasonia_vitripennis","Nvit_2.1"
"Octopus_bimaculoides","v2_0"
"Papilio_machaon","Pap_ma_1.0"
"Papilio_polytes","Ppol_1.0"
"Polistes_dominula","Pdom_r1.2"
"Priapulus_caudatus","5.0.1"
"Pristionchus_pacificus","goldenpath_priPac1_16Jan2015"
"Rhodnius_prolixus","RproC1.31"
"Stegodyphus_mimosarum","GCA_000611955.2.31"
"Strongylocentrotus_purpuratus","Spur_4.2"
"Tetranychus_urticae","000239435.1.31"
"Tribolium_castaneum","Tcas5.2"
"Lymnaea_stagnalis","dryad_1"
"Conus_tribblei","GCA_001262575"
"Mytilus_galloprovincialis","GCA_000715055.1"
"Capitella_teleta","Pdom_r1.2"
"Helobdella_robusta","GCA_000326865.1.31"
"Mnemiopsis_leidyi","GCA_000226015.1.31"
"Adineta_vaga","v1"
"Aedes_aegypti","AaegL2"
"Aedes_albopictus","v1.1"
"Agrilus_planipennis","Apla_1.0"
"Centruroides_exilicauda",1.0
"Corbicula_fluminea","ASM163272v1"
"Loxosceles_reclusa","Lrec_1.0"
"Nematostella_vectensis","v1"
"Parhyale_hawaiensis","Phaw3.0"
"Pleurobrachia_bachei","v.1.1"
"Ptychodera_flava","Ptep_1.0"
"Saccoglossus_kowalevskii","Skow_1.1"
"Sarcoptes_scabiei","SarSca1.0"
"Steganacarus_magnus","ASM98888v1"
"Vollenhovia_emeryi","V.emery_V1.0"
"Wasmannia_auropunctata","wasmannia.A_1.0"
"Zootermopsis_nevadensis",1.0
"Oncopeltus_fasciatus","Ofas_1.0"
"Papilio_xuthus","Pxut_1.0"
"Phoebis_sennae","v1"
"Scaptodrosophila_lebanonensis","ASM101444v1"
"Anopheles_arabiensis","Anop_arab_DONG5_A_V1"
"Tipula_oleracea","v1"
"Trachymyrmex_cornetzi","Tcor1.0"
"Trichogramma_pretiosum","Tpre_1.0"
"Anopheles_albimanus","ALBI9_A_V1"
"Trupanea_jonesi","v1"
"Trachymyrmex_septentrionalis","Tsep1.0"
"Tephritis_californica","ASM101751v1"
"Teleopsis_dalmanni","ASM101752v1"
"Stomoxys_calcitrans","1.0.1"
"Locusta_migratoria","LocustGenomeV1"
"Spodoptera_frugiperda","ASM75363v2"
"Sphyracephala_brevicornis","ASM101523v1"
"Polistes_canadensis","ASM131383v1"
"Pogonomyrmex_barbatus","Pbar_UMD_V03"
"Plutella_xylostella","DBM_FJ_V1.1"
"Phortica_variegata","ASM101441v1"
"Pediculus_humanus_corporis","JCVI_LOUSE_1.0"
"Pachypsylla_venusta","Pven_1.0"
"Oryctes_borbonicus","v1"
"Orussus_abietinus","Oabi_1.0"
"Operophtera_brumata","ASM126657v1"
"Neodiprion_lecontei","ncbi_100"
"Musca_domestica","ncbi_101"
"Melitaea_cinxia","MelCinx1.0"
"Harpegnathos_saltator","ncbi_100"
"Halyomorpha_halys","ncbi_100"
"Athalia_rosae","ncbi_100"
"Fopius_arisanus","ncbi_100"
"Anoplophora_glabripennis","Agla_1.0"
"Anopheles_stephensi","v2"
"Anopheles_sinensis","AS2"
"Anopheles_quadriannulatus","QUAD4_A_V1"
"Anopheles_punctulatus","ASM95625v1"
"Anopheles_farauti","FAR1_V2"
"Anopheles_epiroticus","epiroticus2_V1"
"Anopheles_culicifacies","A-37_1_V1"
"Anopheles_christyi","Anop_chri_ACHKN1017_V1"
"Anopheles_atroparvus","EBRO_V1"
"Tetraodon_nigroviridis","v1"
"Frankliniella_occidentalis","Focc_1.0"
"Ephemera_danica","Edan_1.0"
"Dufourea_novaeangliae","ASM127255v1"
"Drosophila_elegans","Dele_2.0"
"Drosophila_busckii","ASM101435v1"
"Drosophila_bipectinata","Dbip_2.0"
