"organism","target_version"
"Acanthisitta_chloris","bgi_2011-10-28"
"Acinonyx_jubatus","aciJub1"
"Ailuropoda_melanoleuca","goldenpath_ailMel1"
"Alligator_mississippiensis","goldenpath_allMis1_2012"
"Alligator_sinensis","ASM45574v1"
"Ambystoma_mexicanum","sung-2015"
"Anas_platyrhynchos","ensembl_79_BGI_duck_1.0"
"Anolis_carolinensis","ensembl_79_AnoCar2.0"
"Antrostomus_carolinensis","bgi_2011-10-28"
"Aotus_nancymaae","ncbi_1.0_April_2015"
"Apaloderma_vittatum","bgi_2011-10-28"
"Aptenodytes_forsteri","bgi_2011-10-28"
"Apteryx_australis_mantelli","AptMant0"
"Astyanax_mexicanus","ensembl_79_AstMex102"
"Austrofundulus_limnaeus",1.0
"Balaenoptera_acutorostrata","goldenpath_balAcu1"
"Balearica_regulorum","bgi_2011-10-28"
"Bison_bison","ncbi_UMD1_2015-05-14"
"Bos_grunniens","bbu_UMD_2015-05-14"
"Bos_taurus","goldenpath_bosTau7"
"Bubalus_bubalis","ncbi_100_2015-05-14"
"Buceros_rhinoceros","bgi_2011-10-28"
"Calidris_pugnax","ASM143184v1"
"Callithrix_jacchus","goldenpath_calJac3"
"Callorhinchus_milii","goldenpath_calMil1_2013-12"
"Calypte_anna","bgi_2011-10-28"
"Camelus_ferus","bacsac_1.0_april_2013"
"Canis_familiaris","goldenpath_canFam3"
"Capra_hircus","iggc_1.0_april_2013"
"Cariama_cristata","bgi_2011-10-28"
"Cathartes_aura","bgi_2011-10-28"
"Cavia_porcellus","goldenpath_cavPor3"
"Ceratotherium_simum","goldenpath_cerSim1"
"Cercocebus_atys","ncbi_100_2015"
"Chaetura_pelagica","bgi_2011-10-28"
"Charadrius_vociferus","bgi_2011-10-28"
"Chelonia_mydas","CheMyd_1.0"
"Chinchilla_lanigera","broad_v0_2012"
"Chlamydotis_undulata","bgi_2011-10-28"
"Chlorocebus_sabaeus","ensembl_79_ChlSab1.1"
"Choloepus_hoffmanni","goldenpath_choHof1"
"Chrysemys_picta","goldenpath_chrPic1_2011"
"Chrysochloris_asiatica","broad_ChrAsi1.0_2012"
"Clupea_harengus","ncbi_7950_2015"
"Colius_striatus","bgi_2011-10-28"
"Colobus_angolensis_palliatus","ncbi_100_2015"
"Columba_livia","bgi_2011-10-28"
"Corvus_brachyrhynchos","bgi_2011-10-28"
"Corvus_cornix_cornix",932674
"Coturnix_japonica","ncbi_2.0"
"Cricetulus_griseus","goldenpath_criGri1"
"Crocodylus_porosus","crocgenomes_sub2"
"Cuculus_canorus","bgi_2011-10-28"
"Cynoglossus_semilaevis","cse_v1.0"
"Danio_rerio","ensembl_79_Zv9"
"Dasypus_novemcinctus","goldenpath_dasNov3"
"Daubentonia_madagascariensis","broad_1.0_oct_2012"
"Dipodomys_ordii","ensembl_79_dipOrd1"
"Echinops_telfairi","goldenpath_echTel2"
"Egretta_garzetta","bgi_2011-10-28"
"Eidolon_helvum","GCA_000465285.1"
"Elephantulus_edwardii","broad_1.0_april_2013"
"Eptesicus_fuscus","broad_1.0_april_2013"
"Equus_africanus_asinus","willy_denovo"
"Equus_caballus","goldenpath_equCab2_Dec13"
"Erinaceus_europaeus","goldenpath_eriEur2"
"Esox_lucius","ASM72191v2"
"Eurypyga_helias","bgi_2011-10-28"
"Falco_peregrinus","bgi_2011-10-28"
"Felis_catus","goldenpath_felCat5"
"Ficedula_albicollis","FicAlb_1.4"
"Fukomys_damarensis","ncbi_1.0_2014"
"Fulmarus_glacialis","bgi_2011-10-28"
"Fundulus_heteroclitus","3.0.2"
"Gadus_morhua","goldenpath_gadMor1_2010_05"
"Galeopterus_variegatus","G-variegatus_3.0.2_apr_2015"
"Gallus_gallus","goldenpath_galGal4"
"Gasterosteus_aculeatus","BROADS1"
"Gavia_stellata","bgi_2011-10-28"
"Gavialis_gangeticus","ggan_v0.2"
"Gekko_japonicus","V1.1"
"Geospiza_fortis","goldenpath_geoFor1"
"Gorilla_gorilla","goldenpath_gorGor3"
"Haliaeetus_albicilla","bgi_2012-3-16"
"Haliaeetus_leucocephalus","bgi_2012-03-16"
"Haplochromis_burtoni",1.0
"Heterocephalus_glaber","goldenpath_hetGla2"
"Homo_sapiens","goldenpath_hg38"
"Hynobius_chinensis","sung-2015"
"Ictidomys_tridecemlineatus","ensembl_79_spetri2"
"Jaculus_jaculus","broad_JacJac1.0"
"Larimichthys_crocea","ASM74293v1"
"Latimeria_chalumnae","LatCha1"
"Lepisosteus_oculatus","LepOcu1"
"Leptonychotes_weddellii","broad_1.1_april_2013"
"Leptosomus_discolor","bgi_2011-10-28"
"Lipotes_vexillifer","ncbi_100_2014-04-27"
"Loxodonta_africana","goldenpath_loxAfr3"
"Macaca_fascicularis",5.0
"Macaca_mulatta","goldenpath_rheMac3"
"Macropus_eugenii","goldenpath_macEug2"
"Manacus_vitellinus","2011-10-28"
"Mandrillus_leucophaeus","Mleu.le_1.0"
"Maylandia_zebra","UMD1"
"Megaderma_lyra","ncbi_AWHB00000000.1_2015-05"
"Meleagris_gallopavo","goldenpath_melGal1"
"Melopsittacus_undulatus","goldenpath_melUnd1"
"Merops_nubicus","bgi_2011-10-28"
"Mesitornis_unicolor","bgi_2011-10-28"
"Mesocricetus_auratus","broad_1.1_april_2013"
"Microcebus_murinus","goldenpath_micMur1"
"Microtus_ochrogaster","broad_1.0_april_2013"
"Monodelphis_domestica","goldenpath_monDom5"
"Mus_musculus","goldenpath_mm10"
"Mustela_putorius_furo","goldenpath_musFur1"
