taxon	sequenceID	name	subfamily	genus	subgenus	host_group	vector_group	isolate	sampled_host_sci_name	sample_date	country
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/KY370099	KY370099	RPVNe	FlaviPesti	Pestivirus	-	Mammalia	-	RtNe-PestV/SC2014	Niviventer excelsior	-	China
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/KY370100	KY370100	RPVAp	FlaviPesti	Pestivirus	-	Mammalia	-	RtAp-PestV/JL2014	Apodemus peninsulae	-	China
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/KY370102	KY370102	RPVAd	FlaviPesti	Pestivirus	-	Mammalia	-	RtAd-PestV/SAX2015	Apodemus draco	-	China
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/KY370103	KY370103	RPVNn	FlaviPesti	Pestivirus	-	Mammalia	-	RtNn-PestV/SAX2015	Niviventer niviventer	-	China
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/MH282908	MH282908	BPVV1	FlaviPesti	Pestivirus	-	Mammalia	none	BtSk-PestV-1/GX2017	Scotophilus kuhlii	-	China
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_001461	NC_001461	BVDV1	FlaviPesti	Pestivirus	A	Mammalia	none	-	-	-	-
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_002657	NC_002657	CSFV	FlaviPesti	Pestivirus	C	Mammalia	none	-	-	-	-
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_003678	NC_003678	GiPeV	FlaviPesti	Pestivirus	G	Mammalia	none	giraffe-1 H138	Giraffa camelopardalis	-	-
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_003679	NC_003679	BDV	FlaviPesti	Pestivirus	D	Mammalia	none	-	-	-	-
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_012812	NC_012812	BVDV3	FlaviPesti	Pestivirus	H	Mammalia	none	-	Bos taurus	-	Thailand
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_018713	NC_018713	Aydin	FlaviPesti	Pestivirus	I	Mammalia	none	-	sheep	-	Turkey
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_023176	NC_023176	PoPeV	FlaviPesti	Pestivirus	F	Mammalia	none	Bungowannah	-	-	Australia
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_024018	NC_024018	PAPeV	FlaviPesti	Pestivirus	E	Mammalia	none	-	pronghorn antelope	-	USA
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_025677	NC_025677	NrPeV	FlaviPesti	Pestivirus	J	Mammalia	none	NrPV/NYC-D23	Rattus norvegicus	-	USA: New York, New York City
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_035432	NC_035432	LPV	FlaviPesti	Pestivirus	-	Mammalia	-	-	Sus scrofa	-	Austria
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_038964	NC_038964	APPeV	FlaviPesti	Pestivirus	K	Mammalia	none	-	Sus scrofa	-	USA
