sequenceID	referenceName	Genus	Clade	featureName	startNT	endNT
NC_005064	REF_KRV	Flavivirus	cISF	whole_genome	1	11375
NC_005064	REF_KRV	Flavivirus	cISF	5UTR	1	96
NC_005064	REF_KRV	Flavivirus	cISF	precursor_polyprotein	97	10170
NC_005064	REF_KRV	Flavivirus	cISF	structural_proteins	97	2250
NC_005064	REF_KRV	Flavivirus	cISF	flavi-capsid	97	525
NC_005064	REF_KRV	Flavivirus	cISF	premembrane	526	954
NC_005064	REF_KRV	Flavivirus	cISF	flavi-envelope	955	2250
NC_005064	REF_KRV	Flavivirus	cISF	non_structural_proteins	2251	10167
NC_005064	REF_KRV	Flavivirus	cISF	NS1	2251	3420
NC_005064	REF_KRV	Flavivirus	cISF	flavi-NS2A	3421	4041
NC_005064	REF_KRV	Flavivirus	cISF	flavi-NS2B	4042	4488
NC_005064	REF_KRV	Flavivirus	cISF	NS3	4489	6249
NC_005064	REF_KRV	Flavivirus	cISF	flavi-NS4A	6250	6654
NC_005064	REF_KRV	Flavivirus	cISF	2K	6655	6723
NC_005064	REF_KRV	Flavivirus	cISF	flavi-NS4B	6724	7503
NC_005064	REF_KRV	Flavivirus	cISF	NS5	7504	10167
NC_005064	REF_KRV	Flavivirus	cISF	3UTR	10168	11375
NC_027999	REF_EPEV	Flavivirus	dISF1	whole_genome	1	10761
NC_027999	REF_EPEV	Flavivirus	dISF1	5UTR	1	119
NC_027999	REF_EPEV	Flavivirus	dISF1	precursor_polyprotein	120	10445
NC_027999	REF_EPEV	Flavivirus	dISF1	3UTR	10446	10761
NC_024806	REF_LAMV	Flavivirus	dISF2	whole_genome	1	10320
NC_024806	REF_LAMV	Flavivirus	dISF2	5UTR	1	15
NC_024806	REF_LAMV	Flavivirus	dISF2	precursor_polyprotein	16	10320
NC_024806	REF_LAMV	Flavivirus	dISF2	structural_proteins	16	2385
NC_024806	REF_LAMV	Flavivirus	dISF2	flavi-capsid	16	381
NC_024806	REF_LAMV	Flavivirus	dISF2	premembrane	382	888
NC_024806	REF_LAMV	Flavivirus	dISF2	flavi-envelope	889	2385
NC_024806	REF_LAMV	Flavivirus	dISF2	NS1	2386	3444
NC_024806	REF_LAMV	Flavivirus	dISF2	flavi-NS2A	3445	4125
NC_024806	REF_LAMV	Flavivirus	dISF2	flavi-NS2B	4126	4518
NC_024806	REF_LAMV	Flavivirus	dISF2	NS3	4519	6381
NC_024806	REF_LAMV	Flavivirus	dISF2	flavi-NS4A	6382	6759
NC_024806	REF_LAMV	Flavivirus	dISF2	2K	6760	6828
NC_024806	REF_LAMV	Flavivirus	dISF2	flavi-NS4B	6829	7593
NC_024806	REF_LAMV	Flavivirus	dISF2	NS5	7594	10317
NC_024806	REF_LAMV	Flavivirus	dISF2	non_structural_proteins	2386	10317
NC_001477	REF_DEN1	Flavivirus	Mosq1	whole_genome	1	10735
NC_001477	REF_DEN1	Flavivirus	Mosq1	5UTR	1	94
NC_001477	REF_DEN1	Flavivirus	Mosq1	precursor_polyprotein	95	10273
NC_001477	REF_DEN1	Flavivirus	Mosq1	structural_proteins	95	2419
NC_001477	REF_DEN1	Flavivirus	Mosq1	flavi-capsid	95	436
NC_001477	REF_DEN1	Flavivirus	Mosq1	premembrane	437	934
NC_001477	REF_DEN1	Flavivirus	Mosq1	flavi-envelope	935	2419
NC_001477	REF_DEN1	Flavivirus	Mosq1	non_structural_proteins	2420	10270
NC_001477	REF_DEN1	Flavivirus	Mosq1	NS1	2420	3475
NC_001477	REF_DEN1	Flavivirus	Mosq1	flavi-NS2A	3476	4129
NC_001477	REF_DEN1	Flavivirus	Mosq1	flavi-NS2B	4130	4519
NC_001477	REF_DEN1	Flavivirus	Mosq1	NS3	4520	6376
NC_001477	REF_DEN1	Flavivirus	Mosq1	flavi-NS4A	6377	6757
NC_001477	REF_DEN1	Flavivirus	Mosq1	2K	6758	6826
