sequenceID	name	full_name	subfamily	supergenus	genus	subgenus	clade	host_major_group	host_minor_group	isolation_host	vector_group	reservoir_group	isolate	country	place_sampled	collection_year	collection_month	collection_month_day	sampled_host_common_name
MT084113	IPV	Infectious precocity virus	FlaviPesti	FlaviLike	FL4	FL4	NULL	Arthropods	Crustaceans	Macrobrachium rosenbergii	none	none	MR2018	China	-	2018	-	-	-
SsFV_consensus	SsFV	Sea spider flavivirus	FlaviPesti	FlaviLike	Flavivirus	Arachnid	NULL	Arthropods	Chelicerata	Endeis spinosa	none	none	-	-	-	-	-	-	-
HE574574	CTFV	Culex theileri flavivirus RP-2011	FlaviPesti	FlaviLike	Flavivirus	cISF	NULL	Arthropods	Insects	Culex theileri	none	none	178	Portugal	Dunas Douradas-Almancil	-	-	-	-
JQ268258	HANKV	Hanko virus	FlaviPesti	FlaviLike	Flavivirus	cISF	NULL	Arthropods	Insects	Ochlerotatus mosquito	none	none	-	Finland	-	2005	-	-	-
KC505248	PCV	Palm Creek virus	FlaviPesti	FlaviLike	Flavivirus	cISF	NULL	Arthropods	Insects	Coquillettidia xanthogaster	none	none	56	Australia	-	2010	-	-	-
NC_001564	CFAV	Cell fusing agent virus	FlaviPesti	FlaviLike	Flavivirus	cISF	NULL	Arthropods	Insects	Aedes aegypti	none	none	-	USA	-	2012	-	-	-
NC_005064	KRV	Kamiti River virus	FlaviPesti	FlaviLike	Flavivirus	cISF	NULL	Arthropods	Insects	Aedes macintoshi 	none	none	SR-82	-	-	-	-	-	-
NC_008604	CxFV	Culex flavivirus	FlaviPesti	FlaviLike	Flavivirus	cISF	NULL	Arthropods	Insects	Culex pipiens	none	none	-	Japan	Tokyo, Shinjuku	2003	-	-	-
NC_012671	QBV	Quang Binh virus	FlaviPesti	FlaviLike	Flavivirus	cISF	NULL	Arthropods	Insects	Culex tritaeniorhynchus	none	none	VN180	Viet Nam	-	2002	-	-	-
NC_012932	AEFV	Aedes flavivirus	FlaviPesti	FlaviLike	Flavivirus	cISF	NULL	Arthropods	Insects	Aedes albopictus	none	none	-	Japan	Chiba, Narita	2003	-	-	-
NC_021069	MosqFV	Mosquito flavivirus	FlaviPesti	FlaviLike	Flavivirus	cISF	NULL	Arthropods	Insects	Culex tritaeniorhynchus	none	none	LSFlaviV-A20-09	China	-	2009	-	-	-
