taxon	sequenceID	name	full_name	subfamily	genus	subgenus	host_major_group	host_minor_group	vector_group	isolate	sampled_host_sci_name	sampled_host_sci_name	sample_date	country
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/KY370099	KY370099	RPVNe	Rodent pestivirus	FlaviPesti	Pestivirus	-	Mammalia	Rodentia	-	RtNe-PestV/SC2014	Niviventer excelsior	Niviventer excelsior	-	China
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/KY370100	KY370100	RPVAp	Rodent pestivirus	FlaviPesti	Pestivirus	-	Mammalia	Rodentia	-	RtAp-PestV/JL2014	Apodemus peninsulae	Apodemus peninsulae	-	China
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/KY370102	KY370102	RPVAd	Rodent pestivirus	FlaviPesti	Pestivirus	-	Mammalia	Rodentia	-	RtAd-PestV/SAX2015	Apodemus draco	Apodemus draco	-	China
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/KY370103	KY370103	RPVNn	Rodent pestivirus	FlaviPesti	Pestivirus	-	Mammalia	Rodentia	-	RtNn-PestV/SAX2015	Niviventer niviventer	Niviventer niviventer	-	China
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/MH282908	MH282908	BPVV1	Bat pestivirus BtSk-PestV-1/GX2017	FlaviPesti	Pestivirus	-	Mammalia	Chiroptera	none	BtSk-PestV-1/GX2017	Scotophilus kuhlii	Scotophilus kuhlii	-	China
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_001461	NC_001461	BVDV1	Bovine viral diarrhea virus 1	FlaviPesti	Pestivirus	A	Mammalia	-	none	-	-	-	-	-
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_002657	NC_002657	CSFV	Classical swine fever virus	FlaviPesti	Pestivirus	C	Mammalia	Artiodactyla	none	-	-	-	-	-
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_003678	NC_003678	GiPeV	Pestivirus giraffe-1 H138	FlaviPesti	Pestivirus	G	Mammalia	Artiodactyla	none	giraffe-1 H138	Giraffa camelopardalis	Giraffa camelopardalis	-	-
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_003679	NC_003679	BDV	Border disease virus	FlaviPesti	Pestivirus	D	Mammalia	Artiodactyla	none	-	-	-	-	-
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_012812	NC_012812	BVDV3	Bovine viral diarrhea virus 3 Th/04_KhonKaen	FlaviPesti	Pestivirus	H	Mammalia	Artiodactyla	none	-	Bos taurus	Bos taurus	-	Thailand
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_018713	NC_018713	Aydin	Pestivirus strain Aydin/04-TR	FlaviPesti	Pestivirus	I	Mammalia	Artiodactyla	none	-	sheep	sheep	-	Turkey
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_023176	NC_023176	PoPeV	Porcine pestivirus isolate Bungowannah	FlaviPesti	Pestivirus	F	Mammalia	Artiodactyla	none	Bungowannah	-	-	-	Australia
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_024018	NC_024018	PAPeV	Pronghorn antelope pestivirus	FlaviPesti	Pestivirus	E	Mammalia	Artiodactyla	none	-	pronghorn antelope	pronghorn antelope	-	USA
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_025677	NC_025677	NrPeV	Norway rat pestivirus	FlaviPesti	Pestivirus	J	Mammalia	Rodentia	none	NrPV/NYC-D23	Rattus norvegicus	Rattus norvegicus	-	USA: New York, New York City
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_035432	NC_035432	LPV	Linda virus	FlaviPesti	Pestivirus	-	Mammalia	Artiodactyla	-	-	Sus scrofa	Sus scrofa	-	Austria
alignment/AL_TREE_Pestivirus/member/ncbi-refseqs/NC_038964	NC_038964	APPeV	Porcine pestivirus 1	FlaviPesti	Pestivirus	K	Mammalia	Artiodactyla	none	-	Sus scrofa	Sus scrofa	-	USA
