taxon	sequenceID	name	subfamily	genus	subgenus	host_group	vector_group	isolate	sampled_host_sci_name	sample_date	country
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/AY632538	AY632538	IGUV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/AY632542	AY632542	ROCV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/AY898809	AY898809	ALFV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	Australia
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/D00246	D00246	KUNV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/DQ235149	DQ235149	RFV	FlaviPesti	Flavivirus	TBFV	Argas	tick	-	-	-	Afghanistan
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/DQ235151	DQ235151	TSEV	FlaviPesti	Flavivirus	TBFV	Ixodes	tick	-	-	-	Turkey
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/DQ859056	DQ859056	BANV	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	South Africa
alignment/AL_TREE_FlaviPesti/member/fasta-refseqs-eve/EFV-cISF.1-AedAeg	EFV-cISF.1-AedAeg	EFV-cISF.1-AedAeg	FlaviPesti	Flavivirus	-	-	-	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/fasta-digs-eve/EFV-cISF.1.1-Aedes_aegypti	EFV-cISF.1.1-Aedes_aegypti	EFV-cISF.1.1-Aedes_aegypti	FlaviPesti	Flavivirus	-	-	-	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/fasta-refseqs-eve/EFV-cISF.2-AedAlb	EFV-cISF.2-AedAlb	EFV-cISF.2-AedAlb	FlaviPesti	Flavivirus	-	-	-	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/fasta-refseqs-eve/EFV-Flavi.1-CraSow	EFV-Flavi.1-CraSow	EFV-Flavi.1-CraSow	FlaviPesti	Flavivirus	-	-	-	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/fasta-refseqs-eve/EFV-Flavi.2-DapMag	EFV-Flavi.2-DapMag	EFV-Flavi.2-DapMag	FlaviPesti	Flavivirus	-	-	-	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/fasta-digs-eve/EFV-Flavi.2.1-Daphnia_magna	EFV-Flavi.2.1-Daphnia_magna	EFV-Flavi.2.1-Daphnia_magna	FlaviPesti	Flavivirus	-	-	-	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/EU082199	EU082199	YAOV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	Cameroon
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/EU082200	EU082200	KOUV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	Senegal
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/EU159426	EU159426	NOUV	FlaviPesti	Flavivirus	Mosq1	Aedes	mosquito	-	Uranotaenia mashonaensis	-	Cote d'Ivoire
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/HE574574	HE574574	CTFV	FlaviPesti	Flavivirus	cISF	Culex	none	178	Culex theileri	-	Portugal:Dunas Douradas-Almancil
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/JF312912	JF312912	BYDV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	duck	-	China
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/JF416960	JF416960	KFDV	FlaviPesti	Flavivirus	TBFV	Hemaphysalis	tick	-	Semnopithecus entellus	-	India
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/JF926699	JF926699	LayV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	layer	-	China
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/JQ268258	JQ268258	HANKV	FlaviPesti	Flavivirus	cISF	Ochlerotatus	none	-	mosquito	-	Finland
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/JX477686	JX477686	STWV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	Malaysia
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/KC496020	KC496020	BJV	FlaviPesti	Flavivirus	dISF	Culex	none	363/11	Culex perexiguus	-	Israel
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/KC505248	KC505248	PCV	FlaviPesti	Flavivirus	cISF	Coquillettidia	none	56	Coquillettidia xanthogaster	-	Australia
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/KC734550	KC734550	ITV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	Israel/618/1995	domestic turkey	-	Israel
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/KF917538	KF917538	NJLV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	sentinel hamster	-	Ecuador
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/KJ469370	KJ469370	BCV	FlaviPesti	Flavivirus	NKV1	unknown	unknown	-	Cynopterus brachyotis	-	Malaysia
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/KM225263	KM225263	STRV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	Australia
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/KM225264	KM225264	Bainyik	FlaviPesti	Flavivirus	Mosq1	Aedes	mosquito	-	Aedes sp. (mosquito)	-	Papua New Guinea
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/KM225265	KM225265	Torres	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	mosquito	-	Australia
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/KY290249	KY290249	LPKV	FlaviPesti	Flavivirus	dISF	Ochlerotatus	none	-	Ochlerotatus atlanticus	-	USA: Florida, Everglades National Park, Long Pine Key
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/KY320649	KY320649	LTNV	FlaviPesti	Flavivirus	dISF	Ochlerotatus	none	49_LT96	Ochlerotatus scapularis	-	Peru: Piura province, the village of La Tina
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/KY347801	KY347801	MMV	FlaviPesti	Flavivirus	dISF	Aedes	none	HU 4528/07	Ochlerotatus caspius	-	Spain
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/MF776369	MF776369	LFLV	FlaviPesti	Tamanavirus	-	Cyclopterus	none	R170217-6L	Cyclopterus lumpus	-	Norway
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/MG599986	MG599986	WenSFV	FlaviPesti	Tamanavirus	-	Scoliodon	none	-	Scoliodon macrorhynchos	-	China
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/MK473875	MK473875	SpsFV	FlaviPesti	Tamanavirus	Squid	-	none	201405	Idiosepius notoides	-	Australia
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_000943	NC_000943	MVEV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_001437	NC_001437	JEV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_001461	NC_001461	BVDV1	FlaviPesti	Pestivirus	A	Bos	none	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_001474	NC_001474	DENV2	FlaviPesti	Flavivirus	Mosq1	Aedes	mosquito	-	-	-	Thailand
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_001475	NC_001475	DENV3	FlaviPesti	Flavivirus	Mosq1	Aedes	mosquito	D3/H/IMTSSA-SRI/2000/1266	-	-	Sri Lanka
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_001477	NC_001477	DENV1	FlaviPesti	Flavivirus	Mosq1	Aedes	mosquito	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_001563	NC_001563	WNV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_001564	NC_001564	CFAV	FlaviPesti	Flavivirus	cISF	Aedes	none	-	Aedes aegypti Galveston colony	-	USA
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_001672	NC_001672	TBEV	FlaviPesti	Flavivirus	TBFV	Ixodes	tick	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_001809	NC_001809	LIV	FlaviPesti	Flavivirus	TBFV	Ixodes	tick	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_002031	NC_002031	YFV	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_002640	NC_002640	DEN4	FlaviPesti	Flavivirus	Mosq1	Aedes	mosquito	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_002657	NC_002657	CSFV	FlaviPesti	Pestivirus	C	Sus	none	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_003635	NC_003635	MODV	FlaviPesti	Flavivirus	NKV1	Peromyscus	unknown	-	-	-	USA:Modoc county
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_003675	NC_003675	RBV	FlaviPesti	Flavivirus	NKV1	Tadarida	unknown	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_003676	NC_003676	APOIV	FlaviPesti	Flavivirus	NKV1	Apodemus	unknown	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_003678	NC_003678	GiPeV	FlaviPesti	Pestivirus	G	Giraffa	none	giraffe-1 H138	Giraffa camelopardalis	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_003679	NC_003679	BDV	FlaviPesti	Pestivirus	D	Ovis	none	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_003687	NC_003687	POWV	FlaviPesti	Flavivirus	TBFV	Ixodes	tick	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_003690	NC_003690	LGTV	FlaviPesti	Flavivirus	TBFV	Ixodes	tick	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_003996	NC_003996	TABV	FlaviPesti	Tamanavirus	TABV	Pteronotus	none	-	Pteronotus parnellii	-	Trinidad and Tobago: Tamana cave
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_004119	NC_004119	MMLV	FlaviPesti	Flavivirus	NKV1	Myotis	unknown	-	-	-	USA:Montana
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_005039	NC_005039	YOKV	FlaviPesti	Flavivirus	NKV2	unknown	unknown	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_005062	NC_005062	OMSKV	FlaviPesti	Flavivirus	TBFV	Dermacentor	tick	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_005064	NC_005064	KRV	FlaviPesti	Flavivirus	cISF	Aedes	none	SR-82	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_006551	NC_006551	USUV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	Austria
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_007580	NC_007580	SLEV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	USA
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_008604	NC_008604	CxFV	FlaviPesti	Flavivirus	cISF	Culex	none	-	-	-	Japan:Tokyo, Shinjuku
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_008718	NC_008718	ENTV	FlaviPesti	Flavivirus	NKV2	unknown	unknown	-	bat	-	Uganda
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_008719	NC_008719	SEPV	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	mosquito	-	Papua New Guinea
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_009026	NC_009026	BSQV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	BeAn 4073	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_009028	NC_009028	ILHV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_009029	NC_009029	KOKV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_012532	NC_012532	ZIKV	FlaviPesti	Flavivirus	Mosq1	Aedes	mosquito	-	sentinel monkey	-	Uganda
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_012533	NC_012533	KEDV	FlaviPesti	Flavivirus	Mosq1	Aedes	mosquito	-	mosquito	-	Senegal
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_012534	NC_012534	BAGV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	mosquito	-	Central African Republic
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_012671	NC_012671	QBV	FlaviPesti	Flavivirus	cISF	Culex	none	VN180	Culex tritaeniorhynchus (mosquito)	-	Viet Nam
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_012735	NC_012735	WSLV	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	South Africa
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_012812	NC_012812	BVDV3	FlaviPesti	Pestivirus	H	Bos	none	-	Bos taurus	-	Thailand
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_012932	NC_012932	AEFV	FlaviPesti	Flavivirus	cISF	Aedes	none	-	Aedes albopictus	-	Japan:Chiba, Narita
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_015843	NC_015843	TMUV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	goose	-	China
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_016997	NC_016997	DONV/DGV	FlaviPesti	Flavivirus	dISF	Aedes	none	DG0909	Aedes sp. (mosquito)	-	China
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_017086	NC_017086	CHAOV	FlaviPesti	Flavivirus	dISF	Aedes	none	HLD115	mosquito	-	China
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_018705	NC_018705	NTAV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	IPDIA	-	-	-
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_018713	NC_018713	Aydin	FlaviPesti	Pestivirus	I	Ovis	none	-	sheep	-	Turkey
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_021069	NC_021069	MosqFV	FlaviPesti	Flavivirus	cISF	Culex	none	LSFlaviV-A20-09	Culex tritaeniorhynchus	-	China
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_023176	NC_023176	PoPeV	FlaviPesti	Pestivirus	F	Sus	none	Bungowannah	-	-	Australia
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_023424	NC_023424	TYUV	FlaviPesti	Flavivirus	TBFV	Ixodes	tick	-	Ixodes uriae	-	Russia: far East, Sea of Okhotsk; Tyuleniy island
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_023439	NC_023439	KAMV	FlaviPesti	Flavivirus	TBFV	Ixodes	tick	-	Ixodes lividus	-	Russia: islands of Kuybyshev Reservoir, Kuybyshev Sea, East European Plain
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_024017	NC_024017	NHUV	FlaviPesti	Flavivirus	dISF	Culex	none	-	Culex chidesteri	-	Brazil: Nhecolandia Sub-region of Pantanal, Corumba, Mato Grosso do Sul
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_024018	NC_024018	PAPeV	FlaviPesti	Pestivirus	E	Antilocapra	none	-	pronghorn antelope	-	USA
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_024077	NC_024077	SbCNV-5	FlaviPesti	Pesti-like	PL1	Heterodera	none	-	Heterodera glycines	-	USA
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_024299	NC_024299	NIEV	FlaviPesti	Flavivirus	cISF	Culex	none	B51/CI/2004	Culex sp.	-	Cote d'Ivoire
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_024805	NC_024805	ILOV	FlaviPesti	Flavivirus	dISF	Aedes	none	M0724	mosquito	-	Finland
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_024806	NC_024806	LAMV	FlaviPesti	Flavivirus	dISF	Aedes	none	M0719	mosquito	-	Finland
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_025677	NC_025677	NrPeV	FlaviPesti	Pestivirus	J	Rattus	none	NrPV/NYC-D23	Rattus norvegicus	-	USA: New York, New York City
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_026620	NC_026620	JUTV	FlaviPesti	Flavivirus	NKV1	Sigmodon	unknown	-	Sigmodon hispidus	-	Guatemala
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_026623	NC_026623	CPCV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	Formicarius analis	-	Brazil
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_026624	NC_026624	SOKV	FlaviPesti	Flavivirus	NKV2	unknown	unknown	-	Vespertilio pipistrellus	-	Kyrgyzstan
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_027709	NC_027709	SGEV	FlaviPesti	Flavivirus	TBFV	Ixodes	tick	AstGoatIREC2011	Bermeya goat	-	Spain
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_027817	NC_027817	PaRV	FlaviPesti	Flavivirus	cISF	Aedes	none	92-B115745	-	-	Australia
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_027819	NC_027819	MECDV	FlaviPesti	Flavivirus	cISF	Culex	none	ER-M10	Culex sp.	-	Panama
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_027999	NC_027999	EPEV	FlaviPesti	Flavivirus	Mosq2	Lutzomyia	none	Ecuador2012	Lutzomyia abonnenci	-	Ecuador
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_028373	NC_028373	SLV2	FlaviPesti	Pesti-like	PL2	Chrysopida	none	-	Chrysopidae sp.	-	China
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_029055	NC_029055	SPOV	FlaviPesti	Flavivirus	Mosq1	Aedes	mosquito	-	-	-	South Africa
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_030289	NC_030289	EHV	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	Australia
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_030400	NC_030400	NAKV	FlaviPesti	Flavivirus	cISF	Mansonia	none	-	Mansonia africana nigerrima voucher H4A1	-	Uganda
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_031327	NC_031327	AnophFV	FlaviPesti	Flavivirus	cISF	Anopheles	none	-	Anopheles gambiae	-	Liberia
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_032088	NC_032088	NMV	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	mosquito	-	Australia: New Mapoon
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_033693	NC_033693	BOUV	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	Central African Republic
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_033697	NC_033697	SABV	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	Senegal
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_033698	NC_033698	UGSV	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	Uganda
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_033699	NC_033699	JUGV	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	Malaysia
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_033721	NC_033721	MEAV	FlaviPesti	Flavivirus	TBFV	Ornithodoros	tick	-	-	-	France
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_033723	NC_033723	GGYV	FlaviPesti	Flavivirus	TBFV	Ixodes	tick	-	-	-	Australia: Macquarie Island
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_033724	NC_033724	KADV	FlaviPesti	Flavivirus	TBFV	Rhipicephalus	tick	-	-	-	Uganda
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_033726	NC_033726	SREV	FlaviPesti	Flavivirus	TBFV	Ornithodoros	tick	-	-	-	Australia: Queensland
alignment/AL_TREE_FlaviPesti/member/ncbi-refseqs/NC_038964	NC_038964	APPeV	FlaviPesti	Pestivirus	K	Sus	none	-	Sus scrofa	-	USA
