taxon	sequenceID	name	full_name	subfamily	genus	host_major_group	host_minor_group	vector_group	sampled_host_sci_name
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/AY632538	AY632538	IGUV	Iguape virus	FlaviPesti	Flavivirus	Aves/Mammalia	-	Culex	-
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/AY632542	AY632542	ROCV	Rocio virus	FlaviPesti	Flavivirus	Aves	-	Culex	-
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/AY898809	AY898809	ALFV	Alfuy virus	FlaviPesti	Flavivirus	Aves	-	Culex	-
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/D00246	D00246	KUNV	Kunjin virus	FlaviPesti	Flavivirus	Aves	-	Culex	-
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/EU082199	EU082199	YAOV	Yaounde virus	FlaviPesti	Flavivirus	Aves	-	Culex	-
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/EU082200	EU082200	KOUV	Koutango virus	FlaviPesti	Flavivirus	Aves	-	Culex	-
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/EU159426	EU159426	NOUV	Nounane virus	FlaviPesti	Flavivirus	NK	-	Aedes	Uranotaenia mashonaensis
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/JF312912	JF312912	BYDV	Baiyangdian virus	FlaviPesti	Flavivirus	Aves	-	Culex	duck
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/JF926699	JF926699	LayV	Layer flavivirus CJD05	FlaviPesti	Flavivirus	Aves	-	Culex	layer
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/JX477686	JX477686	STWV	Sitiawan virus	FlaviPesti	Flavivirus	Aves	-	Culex	-
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/KC734550	KC734550	ITV	Israel turkey meningoencephalomyelitis virus	FlaviPesti	Flavivirus	Aves	-	Culex	domestic turkey
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/KF917538	KF917538	NJLV	Naranjal virus	FlaviPesti	Flavivirus	Mammalia	-	Culex	sentinel hamster
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/KM225263	KM225263	STRV	Stratford virus	FlaviPesti	Flavivirus	Mammalia	-	Culex	-
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/KM225264	KM225264	Bainyik	Bainyik virus	FlaviPesti	Flavivirus	Mammalia	-	Aedes	Aedes sp. (mosquito)
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/KM225265	KM225265	Torres	Torres virus	FlaviPesti	Flavivirus	Aves	-	Culex	mosquito
alignment/AL_FLAVI_SUBGENUS_MBFV1/member/ncbi-refseqs/NC_000943	NC_000943	MVEV	Murray Valley encephalitis virus	FlaviPesti	Flavivirus	Aves	-	Culex	-
