taxon	sequenceID	name	full_name	subfamily	genus	host_major_group	host_minor_group	vector_group	sampled_host_sci_name
alignment/AL_HEPACI_SUBGENUS_2/member/ncbi-refseqs/BK013349	BK013349	BHV-PM_01	Bat hepacivirus	HepaPegi	Hepacivirus	Mammalia	Chiroptera	none	Peropteryx macrotis
alignment/AL_HEPACI_SUBGENUS_2/member/ncbi-refseqs/KY370092	KY370092	RHCV	Rodent hepacvirus	HepaPegi	Hepacivirus	Mammalia	Rodentia	none	Meriones meridianus
alignment/AL_HEPACI_SUBGENUS_2/member/ncbi-refseqs/MG334001	MG334001	THCV	Hepacivirus sp.	HepaPegi	Hepacivirus	Mammalia	Rodentia	none	Trachemys scripta elegans
alignment/AL_HEPACI_SUBGENUS_2/member/ncbi-refseqs/MH370348	MH370348	SHV	Sigmodontinae hepacivirus	HepaPegi	Hepacivirus	Mammalia	Rodentia	none	Oligoryzomys nigripes
alignment/AL_HEPACI_SUBGENUS_2/member/ncbi-refseqs/MH824541	MH824541	SHV	Sifaka hepacivirus	HepaPegi	Hepacivirus	Mammalia	Primates	none	Propithecus diadema (diademed sifaka)
alignment/AL_HEPACI_SUBGENUS_2/member/ncbi-refseqs/MH844500	MH844500	SHV	Hepacivirus sp.	HepaPegi	Hepacivirus	Mammalia	Xenarthra	none	Bradypus variegatus
alignment/AL_HEPACI_SUBGENUS_2/member/ncbi-refseqs/MT371437	MT371437	MHV	Marmoset pegivirus	HepaPegi	Hepacivirus	Mammalia	Primates	none	Callithrix jacchus; Common marmoset
alignment/AL_HEPACI_SUBGENUS_2/member/ncbi-refseqs/MT371440	MT371440	BcHV	Bandicoot hepacivirus	HepaPegi	Hepacivirus	Mammalia	Marsupials	none	Ixodes holocyclus; Tick
alignment/AL_HEPACI_SUBGENUS_2/member/ncbi-refseqs/MT371443	MT371443	KHV	Koala hepacivirus	HepaPegi	Hepacivirus	Mammalia	Marsupials	none	Phascolarctos cinereus; Australian koala
alignment/AL_HEPACI_SUBGENUS_2/member/ncbi-refseqs/MZ393518	MZ393518	RRHV	Ringtail hepacivirus	HepaPegi	Hepacivirus	Mammalia	Carnivora	none	Bassariscus astutus
alignment/AL_HEPACI_SUBGENUS_2/member/ncbi-refseqs/NC_001655	NC_001655	GBVB	GB virus-B	HepaPegi	Hepacivirus	Mammalia	Primates	none	-
alignment/AL_HEPACI_SUBGENUS_2/member/ncbi-refseqs/NC_021153	NC_021153	RHV-339	Rodent hepacivirus	HepaPegi	Hepacivirus	Mammalia	Rodentia	none	Peromyscus maniculatus
alignment/AL_HEPACI_SUBGENUS_2/member/ncbi-refseqs/NC_025672	NC_025672	RHCV-1	Norway rat hepacivirus 1	HepaPegi	Hepacivirus	Mammalia	Rodentia	none	Rattus norvegicus
alignment/AL_HEPACI_SUBGENUS_2/member/ncbi-refseqs/NC_025673	NC_025673	RHCV-2	Norway rat hepacivirus 2	HepaPegi	Hepacivirus	Mammalia	Rodentia	none	Rattus norvegicus
alignment/AL_HEPACI_SUBGENUS_2/member/ncbi-refseqs/NC_026797	NC_026797	BHCV	Bovine hepacivirus	HepaPegi	Hepacivirus	Mammalia	Artiodactyla	none	Bos taurus
alignment/AL_HEPACI_SUBGENUS_2/member/ncbi-refseqs/NC_031916	NC_031916	HVL	Hepacivirus L	HepaPegi	Hepacivirus	Mammalia	Chiroptera	none	Hipposideros vittatus
alignment/AL_HEPACI_SUBGENUS_2/member/ncbi-refseqs/NC_031950	NC_031950	GuHV	Guereza hepacivirus	HepaPegi	Hepacivirus	Mammalia	Primates	none	black-and-white colobus
alignment/AL_HEPACI_SUBGENUS_2/member/ncbi-refseqs/NC_038426	NC_038426	HVB	Hepacivirus B	HepaPegi	Hepacivirus	Mammalia	Primates	none	Homo sapiens
alignment/AL_HEPACI_SUBGENUS_2/member/ncbi-refseqs/NC_038427	NC_038427	HVF	Hepacivirus F	HepaPegi	Hepacivirus	Mammalia	Rodentia	none	Myodes glareolus
alignment/AL_HEPACI_SUBGENUS_2/member/ncbi-refseqs/NC_038428	NC_038428	HVI	Hepacivirus I	HepaPegi	Hepacivirus	Mammalia	Rodentia	none	Rhabdomys pumilio
alignment/AL_HEPACI_SUBGENUS_2/member/ncbi-refseqs/NC_038432	NC_038432	HVN	Hepacivirus N	HepaPegi	Hepacivirus	Mammalia	Artiodactyla	none	Bos taurus
alignment/AL_HEPACI_SUBGENUS_2/member/ncbi-refseqs/NC_040815	NC_040815	HVP	Hepacivirus P	HepaPegi	Hepacivirus	Mammalia	Rodentia	none	ground squirrel (Citellus dauricus Brandt)
