taxon	sequenceID	subfamily	genus	clade	host_group	vector_group	isolate	sampled_host_sci_name	sample_date	country
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/HE574574	HE574574	FlaviPesti	Flavivirus	cISF	Culex	none	178	Culex theileri	-	Portugal:Dunas Douradas-Almancil
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/JQ268258	JQ268258	FlaviPesti	Flavivirus	cISF	Ochlerotatus	none	-	mosquito	-	Finland
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/KC505248	KC505248	FlaviPesti	Flavivirus	cISF	Coquillettidia	none	56	Coquillettidia xanthogaster	-	Australia
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/NC_001564	NC_001564	FlaviPesti	Flavivirus	cISF	Aedes	none	-	Aedes aegypti Galveston colony	-	USA
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/NC_005064	NC_005064	FlaviPesti	Flavivirus	cISF	Aedes	none	SR-82	-	-	-
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/NC_008604	NC_008604	FlaviPesti	Flavivirus	cISF	Culex	none	-	-	-	Japan:Tokyo, Shinjuku
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/NC_012671	NC_012671	FlaviPesti	Flavivirus	cISF	Culex	none	VN180	Culex tritaeniorhynchus (mosquito)	-	Viet Nam
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/NC_012932	NC_012932	FlaviPesti	Flavivirus	cISF	Aedes	none	-	Aedes albopictus	-	Japan:Chiba, Narita
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/NC_021069	NC_021069	FlaviPesti	Flavivirus	cISF	Culex	none	LSFlaviV-A20-09	Culex tritaeniorhynchus	-	China
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/NC_024299	NC_024299	FlaviPesti	Flavivirus	cISF	Culex	none	B51/CI/2004	Culex sp.	-	Cote d'Ivoire
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/NC_027817	NC_027817	FlaviPesti	Flavivirus	cISF	Aedes	none	92-B115745	-	-	Australia
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/NC_027819	NC_027819	FlaviPesti	Flavivirus	cISF	Culex	none	ER-M10	Culex sp.	-	Panama
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/NC_030400	NC_030400	FlaviPesti	Flavivirus	cISF	Mansonia	none	-	Mansonia africana nigerrima voucher H4A1	-	Uganda
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/NC_031327	NC_031327	FlaviPesti	Flavivirus	cISF	Anopheles	none	-	Anopheles gambiae	-	Liberia
