taxon	sequenceID	name	full_name	subfamily	genus	host_major_group	host_minor_group	vector_group	sampled_host_sci_name
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/DQ859056	DQ859056	BANV	Banzi virus	FlaviPesti	Flavivirus	Mammalia	-	Aedes	-
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_002031	NC_002031	YFV	Yellow fever virus	FlaviPesti	Flavivirus	Mammalia	Primates	Aedes	-
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_005039	NC_005039	YOKV	Yokose virus	FlaviPesti	Flavivirus	Mammalia	Chiroptera	unknown	-
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_008718	NC_008718	ENTV	Entebbe bat virus	FlaviPesti	Flavivirus	Mammalia	Chiroptera	unknown	bat
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_008719	NC_008719	SEPV	Sepik virus	FlaviPesti	Flavivirus	NK	NK	Aedes	mosquito
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_012735	NC_012735	WSLV	Wesselsbron virus	FlaviPesti	Flavivirus	Mammalia	-	Aedes	-
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_026624	NC_026624	SOKV	Sokoluk virus	FlaviPesti	Flavivirus	Mammalia	Chiroptera	unknown	Vespertilio pipistrellus
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_027999	NC_027999	EPEV	Paraiso Escondido virus	FlaviPesti	Flavivirus	Arthropods	Insects	Lutzomyia	Lutzomyia abonnenci
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_030289	NC_030289	EHV	Edge Hill virus	FlaviPesti	Flavivirus	Mammalia	Primates	Aedes	-
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_033693	NC_033693	BOUV	Bouboui virus	FlaviPesti	Flavivirus	NK	NK	Aedes	-
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_033697	NC_033697	SABV	Saboya virus	FlaviPesti	Flavivirus	Mammalia	Rodentia	Aedes	-
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_033698	NC_033698	UGSV	Uganda S virus	FlaviPesti	Flavivirus	NK	NK	Aedes	-
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_033699	NC_033699	JUGV	Jugra virus	FlaviPesti	Flavivirus	Mammalia	-	Aedes	-
