taxon	sequenceID	name	full_name	subfamily	genus	host_major_group	host_minor_group	vector_group	sampled_host_sci_name
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/HE574574	HE574574	CTFV	Culex theileri flavivirus RP-2011	FlaviPesti	Flavivirus	Arthropods	Insects	none	Culex theileri
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/JQ268258	JQ268258	HANKV	Hanko virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Ochlerotatus mosquito
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/KC505248	KC505248	PCV	Palm Creek virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Coquillettidia xanthogaster
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/NC_001564	NC_001564	CFAV	Cell fusing agent virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Aedes aegypti
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/NC_005064	NC_005064	KRV	Kamiti River virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Aedes macintoshi 
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/NC_008604	NC_008604	CxFV	Culex flavivirus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Culex pipiens
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/NC_012671	NC_012671	QBV	Quang Binh virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Culex tritaeniorhynchus
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/NC_012932	NC_012932	AEFV	Aedes flavivirus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Aedes albopictus
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/NC_021069	NC_021069	MosqFV	Mosquito flavivirus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Culex tritaeniorhynchus
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/NC_024299	NC_024299	NIEV	Nienokoue virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Culex sp.
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/NC_027817	NC_027817	PaRV	Parramatta River virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Aedes vigilax
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/NC_027819	NC_027819	MECDV	Mercadeo virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Culex sp.
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/NC_030400	NC_030400	NAKV	Nakiwogo virus	FlaviPesti	Flavivirus	Arthropods	Insects	none	Mansonia africana nigerrima
alignment/AL_FLAVI_SUBGENUS_cISF/member/ncbi-refseqs/NC_031327	NC_031327	AnophFV	Anopheles flavivirus variant 1	FlaviPesti	Flavivirus	Arthropods	Insects	none	Anopheles gambiae
