taxon	sequenceID	name	subfamily	genus	subgenus	host_group	vector_group	isolate	sampled_host_sci_name	sample_date	country
alignment/AL_FLAVI_SUBGENUS_TBFV/member/ncbi-refseqs/DQ235149	DQ235149	RFV	FlaviPesti	Flavivirus	TBFV	Argas	tick	-	-	-	Afghanistan
alignment/AL_FLAVI_SUBGENUS_TBFV/member/ncbi-refseqs/DQ235151	DQ235151	TSEV	FlaviPesti	Flavivirus	TBFV	Ixodes	tick	-	-	-	Turkey
alignment/AL_FLAVI_SUBGENUS_TBFV/member/ncbi-refseqs/JF416960	JF416960	KFDV	FlaviPesti	Flavivirus	TBFV	Hemaphysalis	tick	-	Semnopithecus entellus	-	India
alignment/AL_FLAVI_SUBGENUS_TBFV/member/ncbi-refseqs/NC_001672	NC_001672	TBEV	FlaviPesti	Flavivirus	TBFV	Ixodes	tick	-	-	-	-
alignment/AL_FLAVI_SUBGENUS_TBFV/member/ncbi-refseqs/NC_001809	NC_001809	LIV	FlaviPesti	Flavivirus	TBFV	Ixodes	tick	-	-	-	-
alignment/AL_FLAVI_SUBGENUS_TBFV/member/ncbi-refseqs/NC_003687	NC_003687	POWV	FlaviPesti	Flavivirus	TBFV	Ixodes	tick	-	-	-	-
alignment/AL_FLAVI_SUBGENUS_TBFV/member/ncbi-refseqs/NC_003690	NC_003690	LGTV	FlaviPesti	Flavivirus	TBFV	Ixodes	tick	-	-	-	-
alignment/AL_FLAVI_SUBGENUS_TBFV/member/ncbi-refseqs/NC_005062	NC_005062	OMSKV	FlaviPesti	Flavivirus	TBFV	Dermacentor	tick	-	-	-	-
alignment/AL_FLAVI_SUBGENUS_TBFV/member/ncbi-refseqs/NC_023424	NC_023424	TYUV	FlaviPesti	Flavivirus	TBFV	Ixodes	tick	-	Ixodes uriae	-	Russia: far East, Sea of Okhotsk; Tyuleniy island
alignment/AL_FLAVI_SUBGENUS_TBFV/member/ncbi-refseqs/NC_023439	NC_023439	KAMV	FlaviPesti	Flavivirus	TBFV	Ixodes	tick	-	Ixodes lividus	-	Russia: islands of Kuybyshev Reservoir, Kuybyshev Sea, East European Plain
alignment/AL_FLAVI_SUBGENUS_TBFV/member/ncbi-refseqs/NC_027709	NC_027709	SGEV	FlaviPesti	Flavivirus	TBFV	Ixodes	tick	AstGoatIREC2011	Bermeya goat	-	Spain
alignment/AL_FLAVI_SUBGENUS_TBFV/member/ncbi-refseqs/NC_033721	NC_033721	MEAV	FlaviPesti	Flavivirus	TBFV	Ornithodoros	tick	-	-	-	France
alignment/AL_FLAVI_SUBGENUS_TBFV/member/ncbi-refseqs/NC_033723	NC_033723	GGYV	FlaviPesti	Flavivirus	TBFV	Ixodes	tick	-	-	-	Australia: Macquarie Island
alignment/AL_FLAVI_SUBGENUS_TBFV/member/ncbi-refseqs/NC_033724	NC_033724	KADV	FlaviPesti	Flavivirus	TBFV	Rhipicephalus	tick	-	-	-	Uganda
alignment/AL_FLAVI_SUBGENUS_TBFV/member/ncbi-refseqs/NC_033726	NC_033726	SREV	FlaviPesti	Flavivirus	TBFV	Ornithodoros	tick	-	-	-	Australia: Queensland
