taxon	sequenceID	name	subfamily	genus	clade	host_group	vector_group	isolate	sampled_host_sci_name	sample_date	country
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/AY632538	AY632538	IGUV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/AY632542	AY632542	ROCV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/AY898809	AY898809	ALFV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	-	-	Australia
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/D00246	D00246	KUNV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/DQ235149	DQ235149	RFV	FlaviPesti	Flavivirus	NULL	Argas	tick	-	-	-	Afghanistan
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/DQ235151	DQ235151	TSEV	FlaviPesti	Flavivirus	NULL	Ixodes	tick	-	-	-	Turkey
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/DQ859056	DQ859056	BANV	FlaviPesti	Flavivirus	NULL	Aedes	mosquito	-	-	-	South Africa
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/DQ859067	DQ859067	POTV	FlaviPesti	Flavivirus	NULL	Aedes	mosquito	-	-	-	Nigeria
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/EU082199	EU082199	YAOV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	-	-	Cameroon
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/EU082200	EU082200	KOUV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	-	-	Senegal
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/EU159426	EU159426	NOUV	FlaviPesti	Flavivirus	NULL	Aedes	mosquito	-	Uranotaenia mashonaensis	-	Cote d'Ivoire
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/HE574574	HE574574	CTFV	FlaviPesti	Flavivirus	NULL	Culex	none	178	Culex theileri	-	Portugal:Dunas Douradas-Almancil
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/JF312912	JF312912	BYDV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	duck	-	China
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/JF416960	JF416960	KFDV	FlaviPesti	Flavivirus	NULL	Hemaphysalis	tick	-	Semnopithecus entellus	-	India
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/JF926699	JF926699	LayV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	layer	-	China
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/JQ268258	JQ268258	HANKV	FlaviPesti	Flavivirus	NULL	Ochlerotatus	none	-	mosquito	-	Finland
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/JX477686	JX477686	STWV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	-	-	Malaysia
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/KC505248	KC505248	PCV	FlaviPesti	Flavivirus	NULL	Coquillettidia	none	56	Coquillettidia xanthogaster	-	Australia
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/KC734550	KC734550	ITV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	Israel/618/1995	domestic turkey	-	Israel
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/KF917538	KF917538	NJLV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	sentinel hamster	-	Ecuador
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/KJ469370	KJ469370	BCV	FlaviPesti	Flavivirus	NULL	unknown	unknown	-	Cynopterus brachyotis	-	Malaysia
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/KM225263	KM225263	STRV	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	-	-	Australia
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/KM225264	KM225264	Bainyik	FlaviPesti	Flavivirus	NULL	Aedes	mosquito	-	Aedes sp. (mosquito)	-	Papua New Guinea
alignment/AL_TREE_FlaviTamana/member/ncbi-refseqs/KM225265	KM225265	Torres	FlaviPesti	Flavivirus	NULL	Culex	mosquito	-	mosquito	-	Australia
